"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-02-06,2021-04-04,"GM","Germany",72529.1675839381,"quantile",0.025,"57 day ahead cum death"
2021-02-06,2021-04-05,"GM","Germany",72561.0157094906,"quantile",0.025,"58 day ahead cum death"
2021-02-06,2021-04-06,"GM","Germany",72591.3105836313,"quantile",0.025,"59 day ahead cum death"
2021-02-06,2021-04-07,"GM","Germany",72620.1279593256,"quantile",0.025,"60 day ahead cum death"
2021-02-06,2021-04-08,"GM","Germany",72647.5398950228,"quantile",0.025,"61 day ahead cum death"
2021-02-06,2021-04-09,"GM","Germany",72673.6149348405,"quantile",0.025,"62 day ahead cum death"
2021-02-06,2021-04-10,"GM","Germany",72698.4182799602,"quantile",0.025,"63 day ahead cum death"
2021-02-06,2021-04-11,"GM","Germany",72722.0119516641,"quantile",0.025,"64 day ahead cum death"
2021-02-06,2021-04-12,"GM","Germany",72744.4549464208,"quantile",0.025,"65 day ahead cum death"
2021-02-06,2021-04-13,"GM","Germany",72765.8033834073,"quantile",0.025,"66 day ahead cum death"
2021-02-06,2021-04-14,"GM","Germany",72786.110644836,"quantile",0.025,"67 day ahead cum death"
2021-02-06,2021-04-15,"GM","Germany",72805.4275094379,"quantile",0.025,"68 day ahead cum death"
2021-02-06,2021-04-16,"GM","Germany",72823.8022794364,"quantile",0.025,"69 day ahead cum death"
2021-02-06,2021-04-17,"GM","Germany",72841.2809013275,"quantile",0.025,"70 day ahead cum death"
2021-02-06,2021-04-18,"GM","Germany",72857.9070807699,"quantile",0.025,"71 day ahead cum death"
2021-02-06,2021-04-19,"GM","Germany",72873.7223918726,"quantile",0.025,"72 day ahead cum death"
2021-02-06,2021-04-20,"GM","Germany",72888.7663811511,"quantile",0.025,"73 day ahead cum death"
2021-02-06,2021-04-21,"GM","Germany",72903.0766664147,"quantile",0.025,"74 day ahead cum death"
2021-02-06,2021-04-22,"GM","Germany",72916.6890308304,"quantile",0.025,"75 day ahead cum death"
2021-02-06,2021-04-23,"GM","Germany",72929.6375123997,"quantile",0.025,"76 day ahead cum death"
2021-02-06,2021-04-24,"GM","Germany",72941.954489071,"quantile",0.025,"77 day ahead cum death"
2021-02-06,2021-04-25,"GM","Germany",72953.6707597016,"quantile",0.025,"78 day ahead cum death"
2021-02-06,2021-04-26,"GM","Germany",72964.8156210708,"quantile",0.025,"79 day ahead cum death"
2021-02-06,2021-04-27,"GM","Germany",72975.4169411372,"quantile",0.025,"80 day ahead cum death"
2021-02-06,2021-04-28,"GM","Germany",72985.501228723,"quantile",0.025,"81 day ahead cum death"
2021-02-06,2021-04-29,"GM","Germany",72995.0936997996,"quantile",0.025,"82 day ahead cum death"
2021-02-06,2021-04-30,"GM","Germany",73004.2183405414,"quantile",0.025,"83 day ahead cum death"
2021-02-06,2021-05-01,"GM","Germany",73012.897967303,"quantile",0.025,"84 day ahead cum death"
2021-02-06,2021-05-02,"GM","Germany",73021.1542836724,"quantile",0.025,"85 day ahead cum death"
2021-02-06,2021-05-03,"GM","Germany",73029.0079347408,"quantile",0.025,"86 day ahead cum death"
2021-02-06,2021-05-04,"GM","Germany",73036.4785587269,"quantile",0.025,"87 day ahead cum death"
2021-02-06,2021-05-05,"GM","Germany",73043.5848360819,"quantile",0.025,"88 day ahead cum death"
2021-02-06,2021-05-06,"GM","Germany",73050.3445362006,"quantile",0.025,"89 day ahead cum death"
2021-02-06,2021-05-07,"GM","Germany",73056.7745618543,"quantile",0.025,"90 day ahead cum death"
2021-02-06,2021-05-08,"GM","Germany",73062.8909914564,"quantile",0.025,"91 day ahead cum death"
2021-02-06,2021-05-09,"GM","Germany",73068.7091192668,"quantile",0.025,"92 day ahead cum death"
2021-02-06,2021-05-10,"GM","Germany",73074.2434936356,"quantile",0.025,"93 day ahead cum death"
2021-02-06,2021-05-11,"GM","Germany",73079.5079533814,"quantile",0.025,"94 day ahead cum death"
2021-02-06,2021-05-12,"GM","Germany",73084.5156623956,"quantile",0.025,"95 day ahead cum death"
2021-02-06,2021-05-13,"GM","Germany",73089.2791425594,"quantile",0.025,"96 day ahead cum death"
2021-02-06,2021-05-14,"GM","Germany",73093.8103050541,"quantile",0.025,"97 day ahead cum death"
2021-02-06,2021-05-15,"GM","Germany",73098.1204801463,"quantile",0.025,"98 day ahead cum death"
2021-02-06,2021-05-16,"GM","Germany",73102.2204455188,"quantile",0.025,"99 day ahead cum death"
2021-02-06,2021-02-06,"GM","Germany",61551,"quantile",0.975,"0 day ahead cum death"
2021-02-06,2021-02-07,"GM","Germany",62186.1428571429,"quantile",0.975,"1 day ahead cum death"
2021-02-06,2021-02-08,"GM","Germany",62789.870353066,"quantile",0.975,"2 day ahead cum death"
2021-02-06,2021-02-09,"GM","Germany",63364.1537115683,"quantile",0.975,"3 day ahead cum death"
2021-02-06,2021-02-10,"GM","Germany",63910.4289401767,"quantile",0.975,"4 day ahead cum death"
2021-02-06,2021-02-11,"GM","Germany",64430.0620115049,"quantile",0.975,"5 day ahead cum death"
2021-02-06,2021-02-12,"GM","Germany",64924.352278896,"quantile",0.975,"6 day ahead cum death"
2021-02-06,2021-02-13,"GM","Germany",65394.5357254827,"quantile",0.975,"7 day ahead cum death"
2021-02-06,2021-02-14,"GM","Germany",65841.7880547891,"quantile",0.975,"8 day ahead cum death"
